country,country_code,year,adult_pop,region,income_group,percent_with_fin_account,percent_with_fin_account_formal,percent_with_mobile_account,account_female,account_male,account_poor40,account_rich60,account_prim_less,account_sec_more,gdp_per_capita,region_geo
Madagascar,MDG,2024,18851036.0,Sub-Saharan Africa (excluding high income),Low income,0.244501397,0.094532663,0.193550167,20.2965184252509,28.9510608133895,14.1117475374701,31.3389340519769,16.6835993474644,48.9745880544417,544.987501003384,Sub-Saharan Africa 
Malawi,MWI,2024,12384937.0,Sub-Saharan Africa (excluding high income),Low income,0.503696725,0.12406691,0.473991978,46.2797708427249,54.8354765985818,38.0829684230523,58.5605303613341,43.3106836276267,72.106604968159,522.570393642547,Sub-Saharan Africa 
Malaysia,MYS,2024,27297352.0,East Asia & Pacific (excluding high income),Upper middle income,0.886918012,0.87183103,0.445049317,88.2264701684302,89.1413579480248,82.0441782944544,93.1284043274747,74.4397136763991,92.4534292521765,11874.4273684245,East Asia & Pacific
Mali,MLI,2024,12725942.0,Sub-Saharan Africa (excluding high income),Low income,0.547454806,0.184475281,0.483876159,45.6045965708999,64.185279812671,45.4853738151214,60.9026764966276,48.7312464777965,77.7268667367451,1094.61949265799,Sub-Saharan Africa 
Malta,MLT,2024,480050.0,High income,High income,0.965581295,0.965581295,,96.0512328002859,97.0301617715661,93.4254898314504,98.6438217819116,88.2447080502285,97.2371393593077,43898.5781808597,"Middle East, North Africa, Afghanistan & Pakistan"
Mauritania,MRT,2024,2860979.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.27314261,0.27314261,,24.6801310105525,30.2658938456615,24.3259402241594,29.308038022734,21.3184896184446,44.3631831049748,2110.12036938187,Sub-Saharan Africa 
Mauritius,MUS,2024,1070318.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.89598448,0.895179808,0.101270672,87.44277026075,91.7832047664155,86.3341061612645,91.7740753618116,84.0962831484244,93.4463122804306,11990.7798944837,Sub-Saharan Africa 
Mexico,MEX,2024,97411242.0,Latin America & Caribbean (excluding high income),Upper middle income,0.530320833,0.52389107,0.104373885,47.4017009910959,59.1387643464686,39.604436945858,61.9710694395068,35.2367921698715,60.8992291617309,14185.7812248529,Latin America & Caribbean 
Moldova,MDA,2024,1966418.0,Europe & Central Asia (excluding high income),Upper middle income,0.555442493,0.555442493,,54.547891632053,56.690862731554,43.5496377819456,63.5385507213282,38.4001319181705,56.9653613732781,7576.19589413326,Europe & Central Asia
Mongolia,MNG,2024,2344987.0,East Asia & Pacific (excluding high income),Lower middle income,0.982787008,0.982178824,0.640304314,98.9739436798409,97.5086522078017,97.3968423935397,98.866409516205,95.1893884267782,99.4898963815167,6750.6301157724,East Asia & Pacific
Montenegro,MNE,2024,503215.0,Europe & Central Asia (excluding high income),Upper middle income,0.754116297,0.754116297,,73.3747524585654,77.5678116655159,66.7159776755659,81.2114791836925,41.9977774580032,89.0632290128803,13263.3281277699,Europe & Central Asia
